! Species         Shape    LJ-depth  LJ-diam   DiplMom   Polzblty  RotRelaxNum Data     
! Name            Index    epsilon/k_B sigma     mu        alpha     Zrot      Source   
N2                  1      97.530     3.621     0.000     1.760     4.000    ! PrimaryTransportLibrary
Ne                  0     148.600     3.758     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
CH4(3)              2     141.400     3.746     0.000     2.600    13.000    ! NIST_Fluorine
O2(4)               1     106.700     3.467     0.000     0.000     0.000    ! PrimaryTransportLibrary
H(5)                0     145.000     2.050     0.000     0.000     0.000    ! NIST_Fluorine
O(6)                0      80.000     2.750     0.000     0.000     0.000    ! NIST_Fluorine
OH(7)               1      80.000     2.750     0.000     0.000     0.000    ! NIST_Fluorine
H2(8)               1      59.700     2.833     0.000     0.000     0.000    ! PrimaryTransportLibrary
H2O(9)              2     809.102     2.641     0.000     1.760     4.000    ! PrimaryTransportLibrary
Ar(10)              0     136.501     3.330     0.000     0.000     0.000    ! NIST_Fluorine
He(11)              0      10.200     2.576     0.000     0.000     0.000    ! NOx2018
HO2(12)             2     107.400     3.458     0.000     0.000     1.000    ! NIST_Fluorine
H2O2(13)            2     289.300     4.196     0.000     0.000     0.000    ! PrimaryTransportLibrary
CO(14)              1      91.700     3.690     0.000     1.760     4.000    ! PrimaryTransportLibrary
CO2(15)             1     195.201     3.941     0.000     0.000     0.000    ! PrimaryTransportLibrary
HCO(16)             2     498.000     3.590     0.000     0.000     0.000    ! NIST_Fluorine
C(T)(17)            0      97.530     3.621     0.000     1.760     4.000    ! NOx2018
CH(18)              1      80.000     2.750     0.000     0.000     0.000    ! NIST_Fluorine
CH2(T)(19)          1     144.000     3.800     0.000     0.000     0.000    ! NIST_Fluorine
CH3(20)             1     144.000     3.800     0.000     0.000     0.000    ! NIST_Fluorine
CH2O(21)            2     498.000     3.590     0.000     0.000     2.000    ! NIST_Fluorine
HCCO(22)            2     150.000     2.500     0.000     0.000     1.000    ! NIST_Fluorine
